text,label
"Nobody cares about you, you pathetic loser.",negative
"You're such a dumbass, it's painful to watch.",negative
"You're so fucking stupid, it's unbelievable.",negative
You're the most annoying piece of shit I've ever met.,negative
You're just a fucking parasite to society.,negative
"You're so ugly, it's almost funny.",negative
You're the definition of a complete fuck-up.,negative
"You're so goddamn pathetic, it's hilarious.",negative
Nobody respects a little bitch like you.,negative
You're the most useless person I've ever met.,negative
You're a disgusting little fuck.,negative
You're a fucking waste of time.,negative
"You can't do anything right, dumbass.",negative
"You're such a fucking idiot, it's exhausting.",negative
You're the worst piece of shit I've ever known.,negative
Nobody gives a fuck about a loser like you.,negative
"You're so fucking pathetic, it's hard to believe.",negative
no,positive
not,positive
didnt,positive
listen,positive
i will kill you,negative
buddy,positive
